1,"[product_id_1] Авторасходники. Масло, тормозная и омывающие жидкости, автокосметика и пр"
2,"[product_id_1] Автопарковка. Парковка в городе в рабочее время"
3,"[product_id_1] Автостоянка. Парковка ночная на охраняемой площадке"
4,"[product_id_1] Услуги автосервиса. Ремонт автомобиля, шиномонтаж и пр."
5,"[product_id_1] Автомойка. Мойка, уборка и прочие косметические операции"
6,"[product_id_1] Абонплата за связь. Платежные балансов офисных средств связи"
7,"[product_id_1] Эксплуатация оборудования. Ремон офисного оборудования, заправка катриджей и пр."
8,"[product_id_1] Заправка автомобиля газом"
9,"[product_id_1] Хозяйственные расходы"
10,"[product_id_1] Прочий транспорт. Городской транспорт, такси, включая грузовые"
11,"[product_id_1] Заправка автомобиля бензином"
12,"[product_id_1] Канцелярские принадлежности. Бумага, ручки, кнопки, скрепки и прочий мелкий канцелярский инвентарь"
